from,to,distance
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//05-06 Basketball/UVa FSU/IMG_7108.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//05-06 Basketball/UVa - Wake Forest/NW9M1222.webp,0.718254
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/More Spring 05/More Spring 05 RAW/CRW_1339.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Grounds spr 05/Spring 05 RAW/CRW_9341.webp,0.718253
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 6-05/Popular Island/Poplar Island 6-05/LX-2005-06-27-000-0065.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/Varsity Hall Move/Varsity Hall Move RAW/CRW_0883.webp,0.717947
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/_MG_3833.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/Classroom Shots 4-27 RAW/CRW_2736.webp,0.717829
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/_MG_3942.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/_MG_4044.webp,0.717747
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 7-05/Harps at UVA Hosp RAW/NW9M9119.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 7-05/Harps at UVA Hosp RAW/NW9M9173.webp,0.717526
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/McIntire Ground Breaking 4-15/McIntire Ground Breaking RAW/CRW_1542.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/Well Bear Clinic/Well Bear Clinic RAW/CRW_2447.webp,0.717193
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 8-05/Grounds Corner 6-20-05/RAWs/NW9M6157.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/Dogwood Gardens 4-05 RAW/CRW_2272.webp,0.716875
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 6-05/Grounds and Rotunda 6-05 RAW/NW9M5488.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 6-05/Grounds and Rotunda 6-05 RAW/NW9M5485.webp,0.716623
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Jane Ford's Images/IMG_4840.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/Moody Workshop 4-4/JoAnn Moody 02 4-4 DA.webp,0.716517
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 3-05/Res Halls/Res Halls RAW/CRW_9158.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 12-05/Lighting of the Lawn 2005/PeeWee & lights.webp,0.715815
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 6-05/Popular Island/Construction_02_DA.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 6-05/O'Hill Demolition RAW/NW9M5714.webp,0.715649
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 6-05/Grounds and Rotunda 6-05 RAW/NW9M5506.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 7-05/Historic Pres No 1/NW9M8181.webp,0.715235
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 6-05/Grounds and Rotunda 6-05 RAW/NW9M5488.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 6-05/Grounds and Rotunda 6-05 RAW/Summer_Rotunda_01HR_DA.webp,0.715107
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//05-06 Basketball/UVa FSU/IMG_7108.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//05-06 Basketball/UVa FSU/Basketball_Cheer_02HR.webp,0.714918
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/_MG_3712.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 10-05/Stones Pre Show Press Conf/NW9M5178.webp,0.714816
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 DA/NW9M2218.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 7-05/Arena Topping/Arena Topping RAW/NW9M6461.webp,0.714362
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 6-05/Youth Orchestra Workshop/Youth Orchestra Workshop RAW/NW9M6333.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 6-05/Youth Orchestra Workshop/Youth Orchestra Workshop RAW/NW9M6324.webp,0.714108
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 6-05/Popular Island/Poplar Island 6-05/LX-2005-06-27-000-0034.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 6-05/Popular Island/Poplar Island 6-05/LX-2005-06-27-000-0037.webp,0.714009
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/_MG_3713.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 8-05/Carr's Hill Finals/CH_FP_03HiRes_DA.webp,0.713813
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 7-05/UVa Chapel and Stained Glass Comp/UVa Chapel Stained Glass RAW/NW9M5989.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 7-05/UVa Chapel and Stained Glass Comp/UVa Chapel Stained Glass RAW/NW9M5991.webp,0.713649
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 9-05/Day of Caring 2005/DOC_01_DA.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Grad Story Photos 05/Colin Whitlow/Colin Whitlow RAW/_MG_2969.webp,0.713102
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 DA/NW9M2218.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 9-05/ecoMOD Install/NW9M2182.webp,0.712874
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/_MG_3712.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 DA/NW9M2336.webp,0.712578
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 6-05/Youth Orchestra Workshop/Youth Orchestra Workshop RAW/NW9M6338.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 6-05/Grounds and Rotunda 6-05 RAW/NW9M5486.webp,0.712120
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 6-05/Grounds and Rotunda 6-05 RAW/NW9M5486.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 6-05/Youth Orchestra Workshop/Youth Orchestra Workshop RAW/NW9M6338.webp,0.712120
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 8-05/1st Day of Class Fall 05/NW9M1050.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 11-05/Arts Center Models/NW9M0006.webp,0.711942
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 8-05/1st Day of Class Fall 05/1st Day 05 RAW/NW9M1050.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 11-05/Arts Center Models/NW9M0006.webp,0.711942
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Jane Ford's Images/IMG_4836.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/Well Bear Clinic/Well Bear Clinic 15 DA.webp,0.711794
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 7-05/Harps at UVA Hosp RAW/NW9M9172.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/_MG_3631.webp,0.711121
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 12-05/Snow 12-5-05/UVa Snow 2005 HR/UVa_Snow_2005_76HR_DA.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 12-05/Snow 12-5-05/UVa Snow 2005 HR/UVa_Snow_2005_71HR_DA.webp,0.710959
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 6-05/Popular Island/Swallow_01_DA.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 6-05/Popular Island/Tree_Swallow_House_01_DA.webp,0.710959
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/_MG_3730.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 DA/NW9M2418.webp,0.710935
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Jane Ford's Images/IMG_4836.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Stones Tickets/Stones Tickets RAW/NW9M2094.webp,0.710920
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 6-05/Grounds and Rotunda 6-05 RAW/NW9M5495.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 6-05/Grounds and Rotunda 6-05 RAW/Summer_Rotunda_25HR_DA.webp,0.710817
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/McIntire Ground Breaking 4-15/McIntire Ground Breaking RAW/Rouss-Robertson_Groundbreaking_02HR_DA.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/_MG_3822.webp,0.710780
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 11-05/Mary's Archetectural Piece/Mary's Archetectural Piece/NW9M9915.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/Aerials Sp 05/CRW_2027.webp,0.710735
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 10-05/Stones/Stones RAW/NW9M5244.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 10-05/Stones/Stones RAW/NW9M5246.webp,0.710269
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Pre GradforBW/NW9M2000.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 7-05/Storm 7-05/Storm 7-05 RAW/NW9M7873.webp,0.710212
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Pre Grad/NW9M2000.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 7-05/Storm 7-05/Storm 7-05 RAW/NW9M7873.webp,0.710212
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/More Spring 05/More Spring 05 RAW/CRW_1339.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/More Spring 05/More Spring 05 RAW/CRW_1338.webp,0.709427
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/_MG_3730.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 DA/NW9M2416.webp,0.709289
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 12-05/Snow 12-5-05/UVa Snow 2005 HR/UVa_Snow_2005_74HR_DA.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 12-05/Snow 12-5-05/UVa Snow 2005 HR/UVa_Snow_2005_76HR_DA.webp,0.709066
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 12-05/Snow 12-5-05/UVa Snow 2005 HR/UVa_Snow_2005_76HR_DA.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 12-05/Snow 12-5-05/UVa Snow 2005 HR/UVa_Snow_2005_74HR_DA.webp,0.709066
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 6-05/Popular Island/Swallow_02_DA.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 6-05/Popular Island/Tree_Swallow_House_01_DA.webp,0.708916
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 7-05/Harps at UVA Hosp RAW/NW9M9119.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 7-05/Harps at UVA Hosp RAW/NW9M9163.webp,0.708430
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 11-05/Football 11-5-05/Dan Addison - Temple/NW9M9217.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 8-05/Carr's Field and Misc/WomensRubgy_04HiRes_DA.webp,0.708308
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 6-05/Popular Island/Poplar Island 6-05/LX-2005-06-27-000-0065.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/Varsity Hall Move/Varsity Hall Move RAW/CRW_0884.webp,0.707958
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 6-05/Youth Orchestra Workshop/Youth Orchestra Workshop RAW/NW9M6384.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 6-05/Grounds and Rotunda 6-05 RAW/NW9M5537.webp,0.707865
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/Teaching Awards 05/arras by Jack Mellott.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 6-05/Nicole Hurd Students/Nicole Hurd Students RAW/NW9M7635.webp,0.707614
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/_MG_3927.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 9-05/Carter Harrison GndBrkn RAW/_MG_5806.webp,0.707156
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//05-06 Basketball/UVa vs UNC 11906/NW9M0375.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 10-05/Stones Stage/NW9M5123.webp,0.707094
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 6-05/Popular Island/Terns_01_DA.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/Aerials Sp 05/CRW_1881.webp,0.706905
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/_MG_3713.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 8-05/Carr's Hill Finals/NW9M1282.webp,0.705631
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/_MG_3683.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 8-05/Engineering Invention/NW9M1324.webp,0.705572
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Gardens and Poe Room/Gardens and Poe RAW/NW9M1080.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 8-05/Carr's Hill Finals/CH_FP_05HiResCrop_DA.webp,0.704300
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/BlurRidgeHosp/Blue Ridge Hos RAW/NW9M0311.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Rainey and FischKorn/Rainey and Fishkorn RAW/NW9M3305.webp,0.703477
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/_MG_3927.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/_MG_4184.webp,0.703281
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 11-05/Football 11-5-05/Dan Addison - Temple/NW9M9217.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 10-05/UVa FL State Football 11-15-05/IMG_6487.webp,0.703194
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 11-05/Fall Grounds 2005/NW9M8541.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/More Spring 05/White Dogwood 01 DA.webp,0.703110
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/Varsity Hall Move/Varsity and Grounds/CRW_0334.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/Varsity Hall Move/Varsity and Grounds/CRW_0331.webp,0.703084
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 7-05/UVa Chapel and Stained Glass Comp/Comp 01sm.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 7-05/UVa Chapel and Stained Glass Comp/UVa Chapel Stained Glass RAW/NW9M6019.webp,0.700270
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 8-05/Move In 05/MoveIn-05_10_JL.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/Classroom Shots/CRW_1043.webp,0.699982
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 12-05/Lighting of the Lawn 2005/UVA Lighting of The Lawn 2005-0182.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/_MG_3673.webp,0.699908
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 12-05/Lighting of the Lawn 2005/UVALightingLawn 05_02_JL.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/_MG_3673.webp,0.699570
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 10-05/Stones/Stones RAW/NW9M5244.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 10-05/Stones/Mick_05HiRes_DA.webp,0.699195
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 6-05/Popular Island/Terns_01HiRes_DA.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/Aerials Sp 05/CRW_1881.webp,0.699102
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/_MG_3683.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 8-05/Engineering Invention/NW9M1331.webp,0.698152
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 9-05/More Diversity 9-2 RAW/NW9M1696.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 9-05/A School Ground Breaking/NW9M4364.webp,0.698148
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/_MG_3834.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 6-05/Sorensen Institute/Sorenson Inst RAW/NW9M5411.webp,0.698085
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 7-05/Storm 7-05/Storm 7-05 RAW/NW9M7894.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 7-05/His Pres 01 7-05 RAW/NW9M8223.webp,0.697809
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 7-05/Storm 7-05/NW9M7894.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 7-05/His Pres 01 7-05 RAW/NW9M8223.webp,0.697809
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 7-05/UVa Chapel and Stained Glass Comp/Comp 01sm.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 9-05/UVA Football 9-3-05/KARE_02HiRes_DA.webp,0.697461
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 9-05/More Diversity 9-2 RAW/NW9M1697.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 9-05/More Diversity 9-2 RAW/NW9M1698.webp,0.696149
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/BlurRidgeHosp/Blue Ridge Hos RAW/NW9M0311.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 7-05/Arena Topping/Arena Topping RAW/NW9M6479.webp,0.695841
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/Varsity Hall Move/Varsity Hall Move RAW/CRW_0832.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/Varsity Hall Move/Varsity Hall Move Reprocessed Images/Varsity Hall Move HR/Varsity_Hall_Move_4-2005_05HR_DA.webp,0.695758
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Pre GradforBW/NW9M0474.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 7-05/Storm 7-05/NW9M7888.webp,0.694412
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Pre Grad/NW9M0474.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 7-05/Storm 7-05/NW9M7888.webp,0.694412
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/Aerials Sp 05/Aerials April 2005 HR/Aerials_4-2005_47HR_DA.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 11-05/Aerials Fall 05/Aerial_Carrs_Hill_05HiRes_DA.webp,0.694282
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 11-05/Fall Grounds 2005/NW9M8442.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 11-05/Fall Grounds 2005/NW9M8491.webp,0.693624
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/_MG_3812.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 10-05/Stones Stage/NW9M5053.webp,0.693321
